word,count
flank,1088
big,1088
understanding,1072
commerce,1072
previous,1072
"me.\"",1072
powerful,1072
knee,1072
extraordinary,1072
scar,1072
liked,1072
touched,1072
articles,1072
gazing,1072
married,1072
dangerous,1072
fifty,1072
connective,1072
"\"in",1072
reaction,1072
affections,1072
thirty,1072
millions,1072
methods,1072
silently,1072
"tissues,",1072
government.,1072
tenderness,1072
back.,1072
arranged,1072
advance,1072
raising,1072
adopted,1072
table.,1072
"power,",1056
opposite,1056
commercial,1056
favor,1056
driven,1056
ulcers,1056
sufficient,1056
count's,1056
instant,1056
"\"all",1056
excited,1056
wishing,1056
broad,1056
formerly,1056
that.,1056
consciousness,1056
austrian,1056
absolutely,1056
"when,",1056
returning,1056
vein,1056
"glands,",1056
tender,1056
discharge,1056
fully,1056
agree,1056
kindly,1056
referred,1056
remarkable,1056
risk,1056
assume,1056
stop,1056
nations,1056
railway,1040
americans,1040
"son,",1040
derived,1040
bare,1040
lit,1040
"cases,",1040
peasant,1040
contact,1040
hussars,1040
gray,1040
apparently,1040
us.,1040
disease.,1040
tea,1040
railways,1040
million,1040
works,1040
"you?\"",1040
bill,1040
interference,1040
law.,1040
finger,1040
remains,1040
scarcely,1040
"bones,",1040
"other,",1040
share,1040
secret,1040
dying,1024
cavalry,1024
stay,1024
unknown,1024
"night,",1024
bowed,1024
representatives,1024
distinguished,1024
deeply,1024
hill,1024
one's,1024
tissue.,1024
containing,1024
prominent,1024
night.,1024
final,1024
agreed,1024
pressing,1024
effects,1024
sole,1024
handed,1024
cotton,1008
success,1008
laughed,1008
"\"not",1008
"constitution,",1008
other.,1008
points,1008
passage,1008
entire,1008
grand,1008
slave,1008
expecting,1008
michael,1008
calm,1008
"words,",1008
independent,1008
you'll,1008
circumstances,992
thick,992
hussar,992
worth,992
example,992
entering,992
malignant,992
visit,992
smolensk,992
in.,992
carefully,992
sprang,992
riding,992
built,992
(he,992
retreat,992
actual,992
refused,992
hat,992
muscular,976
fat,976
touch,976
goods,976
bodies,976
houses,976
report,976
nicholas.,976
assumed,976
"dolokhov,",976
wrong,976
managed,976
"course,",976
presents,976
bleeding,976
cap,976
approaching,976
rupture,976
tax,976
extreme,976
"go,",976
historical,976
sister,976
affection,976
"later,",976
organized,976
borodino,976
conflict,976
"law,",976
separated,960
"me!\"",960
struggle,960
suggested,960
rostovs,960
ranks,960
stepped,960
admit,960
"contrary,",960
it?,960
principles,960
"body,",960
finding,960
river,960
lands,960
charge,960
"it!\"",960
announced,960
occurrence,960
comparatively,960
mind.,960
firing,960
infantry,960
carts,960
_history,960
died,960
join,960
"infection,",960
served,960
skin.,960
shot,960
interested,960
rostovs',960
happen,944
exposed,944
"table,",944
world.,944
significance,944
variety,944
needed,944
sad,944
impression,944
actions,944
extended,944
america.,944
health,944
words.,944
places,944
"or,",944
cartilage,944
floor,944
concerned,944
enemy's,944
didn't,944
ebook,944
"moreover,",944
demanded,944
calling,944
conscious,944
laughing,928
infective,928
duties,928
"country,",928
confined,928
fallen,928
marriage,928
characters,928
"death,",928
physical,928
addition,928
"money,",928
electronic,928
council,928
painful,928
"mother,",928
cost,928
weak,928
surgical,928
separate,928
"\"where",928
accustomed,928
berg,928
goes,928
bourienne,928
walking,928
"moment,",928
"friend,",928
center,928
practical,928
bank,928
forty,928
slaves,928
watched,928
pretty,928
"road,",928
chosen,928
minute,928
distribution,928
"cold,",912
inner,912
noticing,912
afterwards,912
cossacks,912
sea,912
estate,912
involved,912
flushed,912
"fire,",912
amendment,912
massachusetts,912
hills,912
blow,912
spanish,912
